State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
arunachal-pradesh,2019,1,east siang,5899,26.879641,80.56982
arunachal-pradesh,2019,1,changlang,5210,26.879641,80.56982
arunachal-pradesh,2019,1,tawang,5023,26.879641,80.56982
arunachal-pradesh,2019,1,lohit,4416,26.879641,80.56982
arunachal-pradesh,2019,1,namsai,3153,26.879641,80.56982
arunachal-pradesh,2019,1,west siang,2656,26.879641,80.56982
arunachal-pradesh,2019,1,lower dibang valley,2314,26.879641,80.56982
arunachal-pradesh,2019,1,tirap,2082,26.879641,80.56982
arunachal-pradesh,2019,2,papum pare,32800,26.879641,80.56982
arunachal-pradesh,2019,2,west kameng,9782,26.879641,80.56982
arunachal-pradesh,2019,2,east siang,7319,26.879641,80.56982
arunachal-pradesh,2019,2,changlang,6884,26.879641,80.56982
arunachal-pradesh,2019,2,tawang,5908,26.879641,80.56982
arunachal-pradesh,2019,2,lohit,5485,26.879641,80.56982
arunachal-pradesh,2019,2,namsai,3914,26.879641,80.56982
arunachal-pradesh,2019,2,west siang,3393,26.879641,80.56982
arunachal-pradesh,2019,2,lower dibang valley,2842,26.879641,80.56982
arunachal-pradesh,2019,2,tirap,2697,26.879641,80.56982
arunachal-pradesh,2019,3,papum pare,38845,26.879641,80.56982
arunachal-pradesh,2019,3,west kameng,11186,26.879641,80.56982
arunachal-pradesh,2019,3,east siang,8571,26.879641,80.56982
arunachal-pradesh,2019,3,changlang,8145,26.879641,80.56982
arunachal-pradesh,2019,3,tawang,6553,26.879641,80.56982
arunachal-pradesh,2019,3,lohit,6421,26.879641,80.56982
arunachal-pradesh,2019,3,namsai,4563,26.879641,80.56982
arunachal-pradesh,2019,3,west siang,4101,26.879641,80.56982
arunachal-pradesh,2019,3,lower dibang valley,3398,26.879641,80.56982
arunachal-pradesh,2019,3,tirap,3099,26.879641,80.56982
arunachal-pradesh,2019,4,papum pare,44746,26.879641,80.56982
arunachal-pradesh,2019,4,west kameng,12562,26.879641,80.56982
arunachal-pradesh,2019,4,east siang,9859,26.879641,80.56982
arunachal-pradesh,2019,4,changlang,9662,26.879641,80.56982
arunachal-pradesh,2019,4,lohit,7386,26.879641,80.56982
arunachal-pradesh,2019,4,tawang,7303,26.879641,80.56982
arunachal-pradesh,2019,4,namsai,5190,26.879641,80.56982
arunachal-pradesh,2019,4,west siang,4773,26.879641,80.56982
arunachal-pradesh,2019,4,lower dibang valley,3944,26.879641,80.56982
arunachal-pradesh,2019,4,tirap,3605,26.879641,80.56982
arunachal-pradesh,2020,1,papum pare,51342,26.879641,80.56982
arunachal-pradesh,2020,1,west kameng,13983,26.879641,80.56982
arunachal-pradesh,2020,1,east siang,11298,26.879641,80.56982
arunachal-pradesh,2020,1,changlang,11262,26.879641,80.56982
arunachal-pradesh,2020,1,lohit,8454,26.879641,80.56982
arunachal-pradesh,2020,1,tawang,8048,26.879641,80.56982
arunachal-pradesh,2020,1,namsai,6029,26.879641,80.56982
arunachal-pradesh,2020,1,west siang,5757,26.879641,80.56982
arunachal-pradesh,2020,1,lower dibang valley,4650,26.879641,80.56982
arunachal-pradesh,2020,1,lower subansiri,4351,26.879641,80.56982
arunachal-pradesh,2020,2,papum pare,59968,26.879641,80.56982
arunachal-pradesh,2020,2,west kameng,15766,26.879641,80.56982
arunachal-pradesh,2020,2,changlang,14036,26.879641,80.56982
arunachal-pradesh,2020,2,east siang,13601,26.879641,80.56982
arunachal-pradesh,2020,2,lohit,10154,26.879641,80.56982
arunachal-pradesh,2020,2,tawang,8993,26.879641,80.56982
arunachal-pradesh,2020,2,namsai,7426,26.879641,80.56982
arunachal-pradesh,2020,2,west siang,7239,26.879641,80.56982
arunachal-pradesh,2020,2,lower dibang valley,5782,26.879641,80.56982
arunachal-pradesh,2020,2,lower subansiri,5392,26.879641,80.56982
arunachal-pradesh,2020,3,papum pare,69419,26.879641,80.56982
arunachal-pradesh,2020,3,west kameng,17636,26.879641,80.56982
arunachal-pradesh,2020,3,changlang,16385,26.879641,80.56982
arunachal-pradesh,2020,3,east siang,15921,26.879641,80.56982
arunachal-pradesh,2020,3,lohit,11755,26.879641,80.56982
arunachal-pradesh,2020,3,tawang,9944,26.879641,80.56982
arunachal-pradesh,2020,3,west siang,8623,26.879641,80.56982
arunachal-pradesh,2020,3,namsai,8553,26.879641,80.56982
arunachal-pradesh,2020,3,lower dibang valley,6799,26.879641,80.56982
arunachal-pradesh,2020,3,lower subansiri,6456,26.879641,80.56982
arunachal-pradesh,2020,4,papum pare,77936,26.879641,80.56982
arunachal-pradesh,2020,4,west kameng,19464,26.879641,80.56982
arunachal-pradesh,2020,4,changlang,18203,26.879641,80.56982
arunachal-pradesh,2020,4,east siang,17822,26.879641,80.56982
arunachal-pradesh,2020,4,lohit,13126,26.879641,80.56982
arunachal-pradesh,2020,4,tawang,10909,26.879641,80.56982
arunachal-pradesh,2020,4,west siang,9911,26.879641,80.56982
arunachal-pradesh,2020,4,namsai,9437,26.879641,80.56982
arunachal-pradesh,2020,4,lower dibang valley,7693,26.879641,80.56982
arunachal-pradesh,2020,4,lower subansiri,7388,26.879641,80.56982
arunachal-pradesh,2021,1,papum pare,84715,26.879641,80.56982
arunachal-pradesh,2021,1,west kameng,21027,26.879641,80.56982
arunachal-pradesh,2021,1,changlang,19716,26.879641,80.56982
arunachal-pradesh,2021,1,east siang,19342,26.879641,80.56982
